전표번호,회계일자,계정과목,적요,차변금액,입력자,입력일시
JV01117,2025-01-05,선급비용,선급비용 01월 정산분,388000.0,최사원,2025-01-07 16:56:00
JV02859,2025-01-05,복리후생비,복리후생비 01월 정산분,856000.0,박과장,2025-01-09 17:42:00
JV01387,2025-01-05,외주가공비,외주가공비 01월 정산분,9950000.0,이차장,2025-01-06 14:04:00
JV02071,2025-01-05,지급수수료,지급수수료 01월 정산분,183000.0,이차장,2025-01-06 12:05:00
JV02942,2025-01-05,소모품비,소모품비 01월 정산분,812000.0,김대리,2025-01-06 15:32:00
JV00885,2025-01-05,선급비용,선급비용 01월 정산분,2542000.0,최사원,2025-01-09 15:02:00
JV00143,2025-01-06,복리후생비,복리후생비 01월 정산분,365000.0,최사원,2025-01-06 17:05:00
JV02080,2025-01-06,복리후생비,복리후생비 01월 정산분,347000.0,이차장,2025-01-10 11:55:00
JV01908,2025-01-06,매출,매출 01월 정산분,741000.0,이차장,2025-01-08 08:32:00
JV00242,2025-01-06,선급비용,선급비용 01월 정산분,4174000.0,김대리,2025-01-06 08:12:00
JV01814,2025-01-06,매출,매출 01월 정산분,250000.0,정부장,2025-01-10 13:20:00
JV01219,2025-01-06,복리후생비,복리후생비 01월 정산분,1304000.0,최사원,2025-01-08 10:11:00
JV02623,2025-01-06,매출,매출 01월 정산분,1978000.0,박과장,2025-01-10 16:44:00
JV01124,2025-01-06,소모품비,소모품비 01월 정산분,1266000.0,김대리,2025-01-07 14:57:00
JV00419,2025-01-06,매출,매출 01월 정산분,342000.0,최사원,2025-01-08 18:52:00
JV00850,2025-01-06,외주가공비,외주가공비 01월 정산분,541000.0,정부장,2025-01-09 12:44:00
JV02475,2025-01-07,매출,매출 01월 정산분,1809000.0,최사원,2025-01-09 14:12:00
JV02690,2025-01-07,미지급비용,미지급비용 01월 정산분,319000.0,최사원,2025-01-08 11:41:00
JV02895,2025-01-07,매출원가,매출원가 01월 정산분,1121000.0,정부장,2025-01-07 11:29:00
JV02532,2025-01-07,미지급비용,미지급비용 01월 정산분,3284000.0,이차장,2025-01-09 11:26:00
JV01930,2025-01-07,복리후생비,복리후생비 01월 정산분,146000.0,이차장,2025-01-10 08:39:00
JV01194,2025-01-07,매출원가,매출원가 01월 정산분,303000.0,정부장,2025-01-08 16:10:00
JV02225,2025-01-08,지급수수료,지급수수료 01월 정산분,1387000.0,김대리,2025-01-09 14:42:00
JV00394,2025-01-08,외주가공비,외주가공비 01월 정산분,563000.0,김대리,2025-01-08 15:38:00
JV00627,2025-01-08,잡비,잡비 01월 정산분,11680000.0,김대리,2025-01-08 08:02:00
JV00545,2025-01-08,소모품비,소모품비 01월 정산분,946000.0,최사원,2025-01-08 10:26:00
JV00376,2025-01-08,지급수수료,지급수수료 01월 정산분,3106000.0,최사원,2025-01-09 08:56:00
JV90006,2025-01-08,외주가공비,외주가공비 01월 정산분,563000.0,김대리,2025-01-08 15:38:00
JV02776,2025-01-09,소모품비,소모품비 01월 정산분,108000.0,김대리,2025-01-09 09:02:00
JV01129,2025-01-09,광고선전비,광고선전비 01월 정산분,68000.0,이차장,2025-01-13 08:43:00
JV01799,2025-01-10,매출원가,매출원가 01월 정산분,223000.0,이차장,2025-01-11 10:25:00
JV02919,2025-01-10,매출,매출 01월 정산분,1877000.0,이차장,2025-01-10 11:36:00
JV01774,2025-01-10,소모품비,소모품비 01월 정산분,782000.0,최사원,2025-01-13 13:21:00
JV00472,2025-01-10,복리후생비,복리후생비 01월 정산분,6414000.0,이차장,2025-01-11 14:57:00
JV01153,2025-01-10,미지급비용,미지급비용 01월 정산분,1195000.0,박과장,2025-01-11 13:18:00
JV01298,2025-01-10,매출,매출 01월 정산분,702000.0,김대리,2025-01-10 08:20:00
JV00194,2025-01-10,미지급비용,미지급비용 01월 정산분,450000.0,최사원,2025-01-11 17:43:00
JV02685,2025-01-10,접대비,접대비 01월 정산분,287000.0,정부장,2025-01-12 11:49:00
JV01116,2025-01-10,선급비용,선급비용 01월 정산분,216000.0,김대리,2025-01-11 14:28:00
JV02074,2025-01-11,지급수수료,지급수수료 01월 정산분,929000.0,김대리,2025-01-12 17:27:00
JV02451,2025-01-11,미지급비용,미지급비용 01월 정산분,2465000.0,박과장,2025-01-14 15:59:00
JV02164,2025-01-11,소모품비,소모품비 01월 정산분,100000.0,박과장,2025-01-11 15:28:00
JV01770,2025-01-11,외주가공비,외주가공비 01월 정산분,247000.0,정부장,2025-01-11 09:58:00
JV00639,2025-01-11,광고선전비,광고선전비 01월 정산분,4076000.0,이차장,2025-01-13 15:51:00
JV01170,2025-01-12,선급비용,선급비용 01월 정산분,1076000.0,이차장,2025-01-13 14:04:00
JV00198,2025-01-12,잡비,잡비 01월 정산분,163000.0,박과장,2025-01-16 16:42:00
JV01746,2025-01-12,여비교통비,여비교통비 01월 정산분,1321000.0,최사원,2025-01-12 16:10:00
JV00680,2025-01-12,외주가공비,외주가공비 01월 정산분,95000.0,김대리,2025-01-13 14:01:00
JV00631,2025-01-12,여비교통비,여비교통비 01월 정산분,7127000.0,이차장,2025-01-13 11:02:00
JV00374,2025-01-12,미지급비용,미지급비용 01월 정산분,727000.0,최사원,2025-01-12 14:59:00
JV02325,2025-01-12,복리후생비,복리후생비 01월 정산분,4014000.0,김대리,2025-01-15 13:13:00
JV01260,2025-01-13,선급비용,선급비용 01월 정산분,1533000.0,최사원,2025-01-17 14:58:00
JV02405,2025-01-13,복리후생비,복리후생비 01월 정산분,360000.0,이차장,2025-06-07 03:00:00
JV01584,2025-01-13,매출원가,매출원가 01월 정산분,279000.0,김대리,2025-01-15 12:20:00
JV01682,2025-01-13,매출원가,매출원가 01월 정산분,1296000.0,박과장,2025-01-17 11:09:00
JV02239,2025-01-13,선급비용,선급비용 01월 정산분,1854000.0,이차장,2025-01-17 11:17:00
JV00942,2025-01-13,매출,매출 01월 정산분,129000.0,최사원,2025-01-17 17:29:00
JV00706,2025-01-13,소모품비,소모품비 01월 정산분,292000.0,최사원,2025-01-16 09:00:00
JV02861,2025-01-13,복리후생비,복리후생비 01월 정산분,604000.0,정부장,2025-01-14 18:47:00
JV01528,2025-01-13,선급비용,선급비용 01월 정산분,13575000.0,이차장,2025-01-16 16:19:00
JV01734,2025-01-13,매출,매출 01월 정산분,28454000.0,이차장,2025-01-14 12:10:00
JV00618,2025-01-13,소모품비,소모품비 01월 정산분,13256000.0,김대리,2025-01-15 12:47:00
JV01832,2025-01-13,매출원가,매출원가 01월 정산분,1150000.0,최사원,2025-01-16 09:08:00
JV00182,2025-01-14,소모품비,소모품비 01월 정산분,910000.0,이차장,2025-01-17 12:14:00
JV00050,2025-01-14,매출원가,매출원가 01월 정산분,256000.0,박과장,2025-01-16 17:18:00
JV00905,2025-01-14,미지급비용,미지급비용 01월 정산분,2040000.0,김대리,2025-01-16 14:01:00
JV00869,2025-01-14,매출,매출 01월 정산분,3375000.0,이차장,2025-01-16 18:58:00
JV00872,2025-01-15,매출원가,매출원가 01월 정산분,22517000.0,정부장,2025-01-18 10:45:00
JV02769,2025-01-15,소모품비,소모품비 01월 정산분,1911000.0,최사원,2025-01-19 13:32:00
JV02928,2025-01-15,지급수수료,지급수수료 01월 정산분,180000.0,김대리,2025-01-18 12:58:00
JV00762,2025-01-15,접대비,접대비 01월 정산분,198000.0,박과장,2025-01-17 18:07:00
JV00386,2025-01-15,지급수수료,지급수수료 01월 정산분,1933000.0,김대리,2025-06-21 04:00:00
JV00412,2025-01-15,매출원가,매출원가 01월 정산분,1039000.0,이차장,2025-01-16 08:05:00
JV02241,2025-01-15,선급비용,선급비용 01월 정산분,167000.0,시스템,2025-01-16 12:31:00
JV01384,2025-01-16,외주가공비,외주가공비 01월 정산분,403000.0,최사원,2025-01-19 11:09:00
JV02482,2025-01-16,선급비용,선급비용 01월 정산분,1060000.0,정부장,2025-01-18 16:52:00
JV01720,2025-01-16,선급비용,선급비용 01월 정산분,903000.0,김대리,2025-01-17 11:45:00
JV01647,2025-01-16,매출원가,매출원가 01월 정산분,692000.0,박과장,2025-06-28 05:00:00
JV00091,2025-01-16,여비교통비,여비교통비 01월 정산분,789000.0,이차장,2025-01-18 08:42:00
JV00841,2025-01-16,광고선전비,광고선전비 01월 정산분,286000.0,박과장,2025-01-19 15:30:00
JV02498,2025-01-17,매출,매출 01월 정산분,642000.0,이차장,2025-01-20 15:55:00
JV01715,2025-01-17,소모품비,소모품비 01월 정산분,631000.0,최사원,2025-01-17 13:47:00
JV02481,2025-01-17,여비교통비,여비교통비 01월 정산분,391000.0,이차장,2025-01-20 17:09:00
JV00048,2025-01-17,광고선전비,광고선전비 01월 정산분,174000.0,이차장,2025-01-18 12:26:00
JV01458,2025-01-17,접대비,접대비 01월 정산분,117000.0,이차장,2025-06-07 04:00:00
JV01075,2025-01-17,지급수수료,지급수수료 01월 정산분,3255000.0,시스템,2025-01-20 15:03:00
JV01872,2025-01-17,지급수수료,지급수수료 01월 정산분,3270000.0,김대리,2025-01-18 12:15:00
JV01163,2025-01-17,지급수수료,지급수수료 01월 정산분,15867000.0,박과장,2025-01-17 11:41:00
JV00372,2025-01-18,매출원가,매출원가 01월 정산분,1133000.0,김대리,2025-01-18 12:52:00
JV01581,2025-01-18,매출원가,매출원가 01월 정산분,643000.0,박과장,2025-01-20 18:19:00
JV01239,2025-01-18,여비교통비,여비교통비 01월 정산분,313000.0,김대리,2025-01-18 11:32:00
JV00167,2025-01-18,매출원가,매출원가 01월 정산분,479000.0,박과장,2025-01-18 08:26:00
JV02488,2025-01-19,매출원가,매출원가 01월 정산분,1931000.0,정부장,2025-01-22 15:15:00
JV00455,2025-01-19,미지급비용,미지급비용 01월 정산분,1869000.0,이차장,2025-01-19 08:39:00
JV02508,2025-01-19,매출원가,매출원가 01월 정산분,2517000.0,김대리,2025-01-22 14:19:00
JV00420,2025-01-19,매출,매출 01월 정산분,89000.0,박과장,2025-01-20 12:20:00
JV02011,2025-01-19,여비교통비,여비교통비 01월 정산분,96000.0,이차장,2025-01-19 15:08:00
JV00320,2025-01-19,매출원가,매출원가 01월 정산분,223000.0,정부장,2025-01-23 13:27:00
JV01152,2025-01-19,광고선전비,광고선전비 01월 정산분,357000.0,이차장,2025-01-20 09:49:00
JV02174,2025-01-19,소모품비,소모품비 01월 정산분,1432000.0,시스템,2025-01-20 09:06:00
JV02943,2025-01-20,지급수수료,지급수수료 01월 정산분,1113000.0,박과장,2025-01-21 09:51:00
JV00133,2025-01-20,복리후생비,복리후생비 01월 정산분,621000.0,김대리,2025-01-22 15:26:00
JV01091,2025-01-20,선급비용,선급비용 01월 정산분,213000.0,박과장,2025-01-23 12:44:00
JV01968,2025-01-20,매출원가,매출원가 01월 정산분,24000.0,최사원,2025-01-21 09:50:00
JV02285,2025-01-20,매출,매출 01월 정산분,378000.0,박과장,2025-01-23 16:21:00
JV01311,2025-01-20,지급수수료,지급수수료 01월 정산분,506000.0,최사원,2025-01-21 11:06:00
JV01514,2025-01-20,매출원가,매출원가 01월 정산분,992000.0,정부장,2025-01-21 12:03:00
JV02298,2025-01-20,외주가공비,외주가공비 01월 정산분,291000.0,이차장,2025-01-21 11:26:00
JV01878,2025-01-20,매출원가,매출원가 01월 정산분,2352000.0,김대리,2025-01-21 08:48:00
JV02656,2025-01-21,소모품비,소모품비 01월 정산분,9330000.0,박과장,2025-01-23 10:40:00
JV00009,2025-01-21,광고선전비,광고선전비 01월 정산분,391000.0,최사원,2025-01-22 11:45:00
JV00857,2025-01-21,광고선전비,광고선전비 01월 정산분,454000.0,김대리,2025-01-25 13:31:00
JV00585,2025-01-21,외주가공비,외주가공비 01월 정산분,9900000.0,이차장,2025-01-23 16:40:00
JV02979,2025-01-21,광고선전비,광고선전비 01월 정산분,3271000.0,김대리,2025-01-21 17:45:00
JV02256,2025-01-21,소모품비,소모품비 01월 정산분,79000.0,이차장,2025-01-22 11:45:00
JV01926,2025-01-21,매출,매출 01월 정산분,1072000.0,최사원,2025-01-23 17:07:00
JV00690,2025-01-21,소모품비,소모품비 01월 정산분,38000.0,시스템,2025-01-23 16:41:00
JV01920,2025-01-21,선급비용,선급비용 01월 정산분,1647000.0,박과장,2025-01-21 16:03:00
JV01026,2025-01-21,접대비,접대비 01월 정산분,634000.0,정부장,2025-01-23 10:32:00
JV00193,2025-01-21,지급수수료,지급수수료 01월 정산분,342000.0,김대리,2025-01-22 08:55:00
JV01237,2025-01-22,매출원가,매출원가 01월 정산분,139000.0,김대리,2025-01-25 15:39:00
JV00213,2025-01-22,여비교통비,여비교통비 01월 정산분,95000.0,이차장,2025-01-25 14:36:00
JV02424,2025-01-22,여비교통비,여비교통비 01월 정산분,145000.0,김대리,2025-01-26 14:17:00
JV02657,2025-01-22,지급수수료,지급수수료 01월 정산분,509000.0,박과장,2025-01-24 18:18:00
JV02367,2025-01-22,여비교통비,여비교통비 01월 정산분,703000.0,최사원,2025-01-22 17:02:00
JV02234,2025-01-22,소모품비,소모품비 01월 정산분,163000.0,김대리,2025-01-25 15:55:00
JV00106,2025-01-22,미지급비용,미지급비용 01월 정산분,2023000.0,이차장,2025-01-25 10:51:00
JV01547,2025-01-22,복리후생비,복리후생비 01월 정산분,62000.0,박과장,2025-01-22 15:19:00
JV00175,2025-01-23,외주가공비,외주가공비 01월 정산분,357000.0,최사원,2025-06-07 04:00:00
JV01644,2025-01-23,매출,매출 01월 정산분,1916000.0,김대리,2025-01-23 11:10:00
JV00699,2025-01-23,미지급비용,미지급비용 01월 정산분,73000.0,이차장,2025-01-23 17:18:00
JV00350,2025-01-23,지급수수료,지급수수료 01월 정산분,194000.0,박과장,2025-01-23 14:45:00
JV01034,2025-01-23,외주가공비,외주가공비 01월 정산분,1392000.0,최사원,2025-01-25 10:03:00
JV02467,2025-01-23,여비교통비,여비교통비 01월 정산분,953000.0,최사원,2025-01-27 11:21:00
JV02614,2025-01-23,매출원가,매출원가 01월 정산분,67000.0,박과장,2025-01-25 15:16:00
JV01987,2025-01-23,매출원가,매출원가 01월 정산분,333000.0,김대리,2025-01-25 10:17:00
JV00927,2025-01-23,잡비,잡비 01월 정산분,55000.0,김대리,2025-01-26 18:11:00
JV02691,2025-01-23,매출원가,매출원가 01월 정산분,679000.0,박과장,2025-01-25 08:29:00
JV02005,2025-01-24,매출원가,매출원가 01월 정산분,573000.0,최사원,2025-01-26 12:40:00
JV00846,2025-01-24,복리후생비,복리후생비 01월 정산분,3599000.0,박과장,2025-01-24 10:34:00
JV02329,2025-01-24,잡비,잡비 01월 정산분,95000.0,이차장,2025-01-26 12:05:00
JV01328,2025-01-24,매출원가,매출원가 01월 정산분,327000.0,박과장,2025-01-24 12:58:00
JV00676,2025-01-25,선급비용,선급비용 01월 정산분,230000.0,정부장,2025-01-28 15:03:00
JV01818,2025-01-25,광고선전비,광고선전비 01월 정산분,142000.0,이차장,2025-01-29 16:33:00
JV01983,2025-01-25,미지급비용,미지급비용 01월 정산분,561000.0,김대리,2025-01-28 14:42:00
JV01590,2025-01-25,광고선전비,광고선전비 01월 정산분,136000.0,이차장,2025-01-28 15:51:00
JV01064,2025-01-25,지급수수료,지급수수료 01월 정산분,87000.0,김대리,2025-01-29 14:51:00
JV01354,2025-01-25,지급수수료,지급수수료 01월 정산분,189000.0,김대리,2025-01-25 10:54:00
JV00768,2025-01-25,광고선전비,광고선전비 01월 정산분,224000.0,시스템,2025-01-29 16:37:00
JV02346,2025-01-25,매출원가,매출원가 01월 정산분,2626000.0,김대리,2025-01-25 16:21:00
JV02197,2025-01-26,광고선전비,광고선전비 01월 정산분,6135000.0,최사원,2025-01-26 11:52:00
JV01978,2025-01-26,매출원가,매출원가 01월 정산분,162000.0,박과장,2025-06-14 05:00:00
JV01744,2025-01-26,매출원가,매출원가 01월 정산분,4300000.0,김대리,2025-01-30 13:19:00
JV02962,2025-01-26,외주가공비,외주가공비 01월 정산분,426000.0,이차장,2025-01-29 18:59:00
JV90005,2025-01-26,소모품비,소모품비 01월 정산분,1168000.0,김대리,2025-01-28 13:51:00
JV01613,2025-01-26,선급비용,선급비용 01월 정산분,2937000.0,김대리,2025-01-27 11:22:00
JV00557,2025-01-26,접대비,접대비 01월 정산분,497000.0,김대리,2025-01-30 11:00:00
JV00294,2025-01-26,매출원가,매출원가 01월 정산분,1368000.0,최사원,2025-01-29 14:34:00
JV01468,2025-01-26,소모품비,소모품비 01월 정산분,2719000.0,정부장,2025-01-28 10:47:00
JV01099,2025-01-26,소모품비,소모품비 01월 정산분,1168000.0,김대리,2025-01-28 13:51:00
JV00877,2025-01-26,외주가공비,외주가공비 01월 정산분,89000.0,박과장,2025-01-29 13:47:00
JV01391,2025-01-26,접대비,접대비 01월 정산분,6052000.0,최사원,2025-01-27 10:21:00
JV01407,2025-01-27,지급수수료,지급수수료 01월 정산분,1130000.0,이차장,2025-01-27 13:23:00
JV01097,2025-01-27,광고선전비,광고선전비 01월 정산분,7390000.0,김대리,2025-01-30 09:06:00
JV02698,2025-01-27,매출원가,매출원가 01월 정산분,15697000.0,박과장,2025-01-31 17:46:00
JV00992,2025-01-27,외주가공비,외주가공비 01월 정산분,9800000.0,이차장,2025-01-29 11:23:00
JV01370,2025-01-27,소모품비,소모품비 01월 정산분,971000.0,김대리,2025-01-27 10:29:00
JV00923,2025-01-27,여비교통비,여비교통비 01월 정산분,2569000.0,정부장,2025-01-28 13:46:00
JV02170,2025-01-27,지급수수료,지급수수료 01월 정산분,229000.0,정부장,2025-01-28 12:18:00
JV01055,2025-01-28,소모품비,소모품비 01월 정산분,271000.0,김대리,2025-01-30 14:08:00
JV00999,2025-01-28,매출원가,매출원가 01월 정산분,75000.0,김대리,2025-02-01 16:55:00
JV00880,2025-01-28,잡비,잡비 01월 정산분,460000.0,김대리,2025-01-28 18:05:00
JV01344,2025-01-28,매출,매출 01월 정산분,537000.0,박과장,2025-01-31 18:15:00
JV02994,2025-01-28,지급수수료,지급수수료 01월 정산분,769000.0,박과장,2025-01-28 08:52:00
JV02399,2025-01-28,미지급비용,미지급비용 01월 정산분,378000.0,시스템,2025-02-01 14:16:00
JV01738,2025-01-28,매출,매출 01월 정산분,1202000.0,최사원,2025-01-31 17:42:00
JV02526,2025-01-28,미지급비용,미지급비용 01월 정산분,3164000.0,박과장,2025-01-29 10:56:00
JV01339,2025-01-29,매출,매출 01월 정산분,6876000.0,이차장,2025-01-29 13:33:00
JV01320,2025-01-29,미지급비용,미지급비용 01월 정산분,1360000.0,정부장,2025-01-29 10:19:00
JV00207,2025-01-29,매출원가,매출원가 01월 정산분,6485000.0,박과장,2025-01-29 16:36:00
JV01235,2025-01-29,광고선전비,광고선전비 01월 정산분,316000.0,최사원,2025-01-29 08:21:00
JV01208,2025-01-29,소모품비,소모품비 01월 정산분,1952000.0,이차장,2025-01-30 09:09:00
JV02105,2025-01-29,여비교통비,여비교통비 01월 정산분,1807000.0,최사원,2025-02-02 10:27:00
JV00522,2025-01-29,소모품비,소모품비 01월 정산분,960000.0,박과장,2025-01-31 15:08:00
JV01390,2025-01-30,선급비용,선급비용 01월 정산분,670000.0,이차장,2025-01-30 08:34:00
JV00514,2025-01-30,광고선전비,광고선전비 01월 정산분,664000.0,김대리,2025-02-01 14:29:00
JV00532,2025-01-30,매출원가,매출원가 01월 정산분,1102000.0,박과장,2025-01-30 11:00:00
JV01700,2025-01-30,지급수수료,지급수수료 01월 정산분,12722000.0,이차장,2025-02-02 13:09:00
JV00793,2025-01-30,외주가공비,외주가공비 01월 정산분,60000.0,박과장,2025-06-07 04:00:00
JV02398,2025-01-31,외주가공비,외주가공비 01월 정산분,1647000.0,최사원,2025-02-03 10:16:00
JV02626,2025-01-31,외주가공비,외주가공비 01월 정산분,1250000.0,최사원,2025-02-01 18:24:00
JV01266,2025-01-31,복리후생비,복리후생비 01월 정산분,396000.0,박과장,2025-02-03 15:49:00
JV00463,2025-01-31,잡비,잡비 01월 정산분,393000.0,최사원,2025-02-02 14:52:00
JV02402,2025-01-31,외주가공비,외주가공비 01월 정산분,5485000.0,김대리,2025-02-01 14:44:00
JV00864,2025-01-31,소모품비,소모품비 01월 정산분,205000.0,박과장,2025-02-01 09:12:00
JV02214,2025-01-31,미지급비용,미지급비용 01월 정산분,2060000.0,박과장,2025-02-04 10:08:00
JV02086,2025-02-01,지급수수료,지급수수료 02월 정산분,260000.0,최사원,2025-02-01 16:50:00
JV00249,2025-02-01,미지급비용,미지급비용 02월 정산분,428000.0,박과장,2025-02-02 17:47:00
JV01790,2025-02-01,접대비,접대비 02월 정산분,207000.0,정부장,2025-02-04 10:09:00
JV01633,2025-02-01,광고선전비,광고선전비 02월 정산분,757000.0,김대리,2025-02-03 11:00:00
JV02809,2025-02-01,복리후생비,복리후생비 02월 정산분,456000.0,이차장,2025-06-28 01:00:00
JV02290,2025-02-01,지급수수료,지급수수료 02월 정산분,1056000.0,정부장,2025-02-04 17:53:00
JV02382,2025-02-01,외주가공비,외주가공비 02월 정산분,145000.0,이차장,2025-02-03 17:49:00
JV02342,2025-02-01,지급수수료,지급수수료 02월 정산분,3370000.0,최사원,2025-02-03 08:45:00
JV02864,2025-02-01,복리후생비,복리후생비 02월 정산분,5214000.0,이차장,2025-02-04 10:04:00
JV00935,2025-02-02,소모품비,소모품비 02월 정산분,346000.0,최사원,2025-02-03 14:54:00
JV02646,2025-02-02,접대비,접대비 02월 정산분,191000.0,최사원,2025-02-04 14:22:00
JV00347,2025-02-02,선급비용,선급비용 02월 정산분,778000.0,최사원,2025-02-04 16:09:00
JV02253,2025-02-02,선급비용,선급비용 02월 정산분,2919000.0,이차장,2025-02-02 18:20:00
JV00393,2025-02-02,지급수수료,지급수수료 02월 정산분,8918000.0,박과장,2025-02-06 11:19:00
JV00269,2025-02-02,선급비용,선급비용 02월 정산분,261000.0,박과장,2025-06-21 05:00:00
JV02800,2025-02-02,매출,매출 02월 정산분,1399000.0,김대리,2025-02-04 12:21:00
JV00597,2025-02-02,매출원가,매출원가 02월 정산분,218000.0,김대리,2025-02-03 12:31:00
JV00147,2025-02-03,매출,매출 02월 정산분,22000.0,최사원,2025-02-07 14:54:00
JV01231,2025-02-03,소모품비,소모품비 02월 정산분,40000.0,최사원,2025-02-07 14:23:00
JV00810,2025-02-03,지급수수료,지급수수료 02월 정산분,655000.0,김대리,2025-02-03 15:54:00
JV01578,2025-02-03,매출,매출 02월 정산분,3445000.0,이차장,2025-02-06 15:20:00
JV01205,2025-02-03,외주가공비,외주가공비 02월 정산분,2223000.0,이차장,2025-02-04 12:53:00
JV02858,2025-02-03,매출,매출 02월 정산분,671000.0,시스템,2025-02-03 11:07:00
JV02617,2025-02-03,매출원가,매출원가 02월 정산분,1617000.0,이차장,2025-02-06 18:28:00
JV00094,2025-02-03,광고선전비,광고선전비 02월 정산분,169000.0,최사원,2025-02-06 08:09:00
JV00654,2025-02-03,매출,매출 02월 정산분,830000.0,박과장,2025-02-04 10:34:00
JV02484,2025-02-03,매출원가,매출원가 02월 정산분,5854000.0,김대리,2025-02-07 13:27:00
JV02068,2025-02-04,광고선전비,광고선전비 02월 정산분,115000.0,박과장,2025-02-04 15:45:00
JV02291,2025-02-04,외주가공비,외주가공비 02월 정산분,934000.0,박과장,2025-02-06 08:02:00
JV01766,2025-02-04,매출원가,매출원가 02월 정산분,2894000.0,정부장,2025-02-06 16:59:00
JV02557,2025-02-04,여비교통비,여비교통비 02월 정산분,4646000.0,최사원,2025-02-06 18:52:00
JV02257,2025-02-04,복리후생비,복리후생비 02월 정산분,3418000.0,이차장,2025-02-05 14:48:00
JV02165,2025-02-04,매출,매출 02월 정산분,2104000.0,최사원,2025-02-04 11:21:00
JV02244,2025-02-05,여비교통비,여비교통비 02월 정산분,6592000.0,김대리,2025-02-06 08:00:00
JV00067,2025-02-05,광고선전비,광고선전비 02월 정산분,1164000.0,이차장,2025-02-09 11:04:00
JV01984,2025-02-05,매출,매출 02월 정산분,570000.0,박과장,2025-02-08 17:49:00
JV00452,2025-02-05,잡비,잡비 02월 정산분,641000.0,최사원,2025-02-08 08:37:00
JV02749,2025-02-05,매출,매출 02월 정산분,804000.0,박과장,2025-02-09 09:17:00
JV01870,2025-02-05,미지급비용,미지급비용 02월 정산분,693000.0,김대리,2025-02-09 11:50:00
JV00554,2025-02-05,외주가공비,외주가공비 02월 정산분,1030000.0,최사원,2025-02-08 18:48:00
JV00136,2025-02-05,외주가공비,외주가공비 02월 정산분,1750000.0,최사원,2025-02-08 16:36:00
JV00293,2025-02-05,미지급비용,미지급비용 02월 정산분,9839000.0,박과장,2025-02-05 11:14:00
JV01780,2025-02-06,지급수수료,지급수수료 02월 정산분,254000.0,정부장,2025-02-06 16:49:00
JV00817,2025-02-06,소모품비,소모품비 02월 정산분,1741000.0,정부장,2025-02-07 13:28:00
JV01448,2025-02-06,매출원가,매출원가 02월 정산분,246000.0,이차장,2025-02-10 16:59:00
JV00913,2025-02-06,외주가공비,외주가공비 02월 정산분,2378000.0,최사원,2025-02-09 15:40:00
