Doc No,일 자,차대,계정CD,계정명,적 요,거래처명,금액,입력자
202505025,2025/05/13,대변,11100,현금및현금성자산,05월 복리후생비 정산,우성테크,-658000.0,이차장
202505026,2025/08/05,차변,52300,소모품비,08월 소모품비 정산,동보전자,319000.0,이차장
202505026,2025/08/05,대변,21100,매입채무,08월 소모품비 정산,동보전자,-319000.0,이차장
202505027,2025/09/19,차변,11100,현금및현금성자산,09월 현금및현금성자산 정산,명진산업,587000.0,최사원
202505027,2025/09/19,대변,25100,예수금,09월 현금및현금성자산 정산,명진산업,-587000.0,최사원
202505028,2025/02/04,차변,11300,매출채권,02월 매출채권 정산,동보전자,1134000.0,김대리
202505028,2025/02/04,대변,51300,복리후생비,02월 매출채권 정산,동보전자,-1134000.0,김대리
202505029,2025/05/26,차변,51100,급여,05월 급여 정산,제일기공,804000.0,최사원
202505029,2025/05/26,대변,40100,매출,05월 급여 정산,제일기공,-804000.0,최사원
202505030,2025/09/05,차변,11100,현금및현금성자산,09월 현금및현금성자산 정산,-,3717000.0,박과장
202505030,2025/09/05,대변,51300,복리후생비,09월 현금및현금성자산 정산,-,-3717000.0,박과장
202505031,2025/01/13,차변,21100,매입채무,01월 매입채무 정산,제일기공,601000.0,박과장
202505031,2025/01/13,대변,52300,소모품비,01월 매입채무 정산,제일기공,-601000.0,박과장
202505032,2025/12/29,차변,11100,현금및현금성자산,12월 현금및현금성자산 정산,케이엘상사,6845000.0,최사원
202505032,2025/12/29,대변,40100,매출,12월 현금및현금성자산 정산,케이엘상사,-6845000.0,최사원
202505033,2025/01/02,차변,51300,복리후생비,01월 복리후생비 정산,-,666000.0,김대리
202505033,2025/01/02,대변,40100,매출,01월 복리후생비 정산,-,-666000.0,김대리
202505034,2025/06/14,차변,40100,매출,06월 매출 정산,우성테크,156000.0,최사원
202505034,2025/06/14,대변,11100,현금및현금성자산,06월 매출 정산,우성테크,-156000.0,최사원
202505035,2025/09/05,차변,45100,매출원가,09월 매출원가 정산,삼정유통,169000.0,박과장
202505035,2025/09/05,차변,52300,소모품비,09월 매출원가 정산,삼정유통,72000.0,박과장
202505035,2025/09/05,대변,52100,지급수수료,09월 매출원가 정산,삼정유통,-241000.0,박과장
202505036,2025/09/22,차변,45100,매출원가,09월 매출원가 정산,제일기공,21000.0,박과장
202505036,2025/09/22,대변,25100,예수금,09월 매출원가 정산,제일기공,-21000.0,박과장
202505037,2025/03/21,차변,51300,복리후생비,03월 복리후생비 정산,제일기공,243000.0,최사원
202505037,2025/03/21,대변,45100,매출원가,03월 복리후생비 정산,제일기공,-243000.0,최사원
202505038,2025/03/07,차변,51100,급여,03월 급여 정산,삼정유통,1899000.0,김대리
202505038,2025/03/07,대변,11300,매출채권,03월 급여 정산,삼정유통,-1899000.0,김대리
202505039,2025/11/13,차변,52300,소모품비,11월 소모품비 정산,동보전자,186000.0,박과장
202505039,2025/11/13,차변,21500,미지급비용,11월 소모품비 정산,동보전자,79000.0,박과장
202505039,2025/11/13,대변,51500,여비교통비,11월 소모품비 정산,동보전자,-265000.0,박과장
202505040,2025/04/23,차변,45100,매출원가,04월 매출원가 정산,제일기공,720000.0,박과장
202505040,2025/04/23,대변,13100,재고자산,04월 매출원가 정산,제일기공,-720000.0,박과장
202505041,2025/02/01,차변,21500,미지급비용,02월 미지급비용 정산,명진산업,216000.0,최사원
202505041,2025/02/01,대변,21300,미지급금,02월 미지급비용 정산,명진산업,-216000.0,최사원
202505042,2025/07/12,차변,52300,소모품비,07월 소모품비 정산,제일기공,52000.0,박과장
202505042,2025/07/12,대변,21500,미지급비용,07월 소모품비 정산,제일기공,-52000.0,박과장
202505043,2025/05/13,차변,11300,매출채권,05월 매출채권 정산,(주)한빛물산,491000.0,최사원
202505043,2025/05/13,대변,21300,미지급금,05월 매출채권 정산,(주)한빛물산,-491000.0,최사원
202505044,2025/11/29,차변,21100,매입채무,11월 매입채무 정산,(주)한빛물산,564000.0,김대리
202505044,2025/11/29,대변,45100,매출원가,11월 매입채무 정산,(주)한빛물산,-564000.0,김대리
202505045,2025/05/13,차변,25100,예수금,05월 예수금 정산,(주)한빛물산,973000.0,김대리
202505045,2025/05/13,대변,51500,여비교통비,05월 예수금 정산,(주)한빛물산,-973000.0,김대리
202505046,2025/10/12,차변,40100,매출,10월 매출 정산,(주)한빛물산,666000.0,최사원
202505046,2025/10/12,차변,21300,미지급금,10월 매출 정산,(주)한빛물산,286000.0,최사원
202505046,2025/10/12,대변,52100,지급수수료,10월 매출 정산,(주)한빛물산,-952000.0,최사원
202505047,2025/12/14,차변,51100,급여,12월 급여 정산,(주)한빛물산,1742000.0,박과장
202505047,2025/12/14,대변,13100,재고자산,12월 급여 정산,(주)한빛물산,-1742000.0,박과장
202505048,2025/01/18,차변,11100,현금및현금성자산,01월 현금및현금성자산 정산,(주)한빛물산,221000.0,이차장
202505048,2025/01/18,차변,40100,매출,01월 현금및현금성자산 정산,(주)한빛물산,95000.0,이차장
202505048,2025/01/18,대변,21100,매입채무,01월 현금및현금성자산 정산,(주)한빛물산,-316000.0,이차장
202505049,2025/01/15,차변,21100,매입채무,01월 매입채무 정산,케이엘상사,5805000.0,최사원
202505049,2025/01/15,대변,52300,소모품비,01월 매입채무 정산,케이엘상사,-5805000.0,최사원
202505050,2025/01/07,차변,52100,지급수수료,01월 지급수수료 정산,대성엔지니어링,3346000.0,김대리
202505050,2025/01/07,대변,21100,매입채무,01월 지급수수료 정산,대성엔지니어링,-3346000.0,김대리
202505051,2025/06/03,차변,13100,재고자산,06월 재고자산 정산,동보전자,336000.0,박과장
202505051,2025/06/03,대변,11300,매출채권,06월 재고자산 정산,동보전자,-336000.0,박과장
202505052,2025/08/08,차변,11100,현금및현금성자산,08월 현금및현금성자산 정산,삼정유통,22000.0,이차장
202505052,2025/08/08,대변,45100,매출원가,08월 현금및현금성자산 정산,삼정유통,-22000.0,이차장
202505053,2025/07/31,차변,51300,복리후생비,07월 복리후생비 정산,명진산업,9490000.0,최사원
202505053,2025/07/31,대변,21100,매입채무,07월 복리후생비 정산,명진산업,-9490000.0,최사원
202505054,2025/12/23,차변,52100,지급수수료,12월 지급수수료 정산,대성엔지니어링,318000.0,박과장
202505054,2025/12/23,대변,51500,여비교통비,12월 지급수수료 정산,대성엔지니어링,-318000.0,박과장
202505055,2025/04/19,차변,13100,재고자산,04월 재고자산 정산,케이엘상사,1172000.0,김대리
202505055,2025/04/19,대변,25100,예수금,04월 재고자산 정산,케이엘상사,-1172000.0,김대리
202505056,2025/12/31,차변,21100,매입채무,12월 매입채무 정산,동보전자,262000.0,박과장
202505056,2025/12/31,차변,52100,지급수수료,12월 매입채무 정산,동보전자,112000.0,박과장
202505056,2025/12/31,대변,45100,매출원가,12월 매입채무 정산,동보전자,-374000.0,박과장
202505057,2025/03/25,차변,40100,매출,03월 매출 정산,-,3372000.0,이차장
202505057,2025/03/25,대변,21100,매입채무,03월 매출 정산,-,-3372000.0,이차장
202505058,2025/07/23,차변,25100,예수금,07월 예수금 정산,제일기공,1263000.0,최사원
202505058,2025/07/23,대변,51100,급여,07월 예수금 정산,제일기공,-1263000.0,최사원
202505059,2025/03/29,차변,21100,매입채무,03월 매입채무 정산,우성테크,154000.0,이차장
202505059,2025/03/29,대변,51100,급여,03월 매입채무 정산,우성테크,-154000.0,이차장
202505060,2025/09/17,차변,52100,지급수수료,09월 지급수수료 정산,대성엔지니어링,121000.0,이차장
202505060,2025/09/17,대변,13100,재고자산,09월 지급수수료 정산,대성엔지니어링,-121000.0,이차장
202505061,2025/02/16,차변,11300,매출채권,02월 매출채권 정산,-,424000.0,최사원
202505061,2025/02/16,차변,21100,매입채무,02월 매출채권 정산,-,181000.0,최사원
202505061,2025/02/16,대변,21100,매입채무,02월 매출채권 정산,-,-605000.0,최사원
202505062,2025/05/20,차변,21500,미지급비용,05월 미지급비용 정산,-,477000.0,최사원
202505062,2025/05/20,대변,11100,현금및현금성자산,05월 미지급비용 정산,-,-477000.0,최사원
202505063,2025/12/28,차변,21300,미지급금,12월 미지급금 정산,명진산업,515000.0,김대리
202505063,2025/12/28,차변,51100,급여,12월 미지급금 정산,명진산업,221000.0,김대리
202505063,2025/12/28,대변,45100,매출원가,12월 미지급금 정산,명진산업,-736000.0,김대리
202505064,2025/09/29,차변,21500,미지급비용,09월 미지급비용 정산,대성엔지니어링,542000.0,이차장
202505064,2025/09/29,대변,52300,소모품비,09월 미지급비용 정산,대성엔지니어링,-542000.0,이차장
202505065,2025/01/17,차변,11300,매출채권,01월 매출채권 정산,삼정유통,1283000.0,이차장
202505065,2025/01/17,대변,13100,재고자산,01월 매출채권 정산,삼정유통,-1283000.0,이차장
202505066,2025/01/09,차변,25100,예수금,01월 예수금 정산,-,91000.0,최사원
202505066,2025/01/09,대변,40100,매출,01월 예수금 정산,-,-91000.0,최사원
202505067,2025/03/07,차변,13100,재고자산,03월 재고자산 정산,케이엘상사,7025000.0,최사원
202505067,2025/03/07,대변,11300,매출채권,03월 재고자산 정산,케이엘상사,-7025000.0,최사원
202505068,2025/03/12,차변,11300,매출채권,03월 매출채권 정산,제일기공,499000.0,최사원
202505068,2025/03/12,대변,11100,현금및현금성자산,03월 매출채권 정산,제일기공,-499000.0,최사원
202505069,2025/08/22,차변,21500,미지급비용,08월 미지급비용 정산,우성테크,4259000.0,김대리
202505069,2025/08/22,대변,51500,여비교통비,08월 미지급비용 정산,우성테크,-4259000.0,김대리
202505070,2025/05/01,차변,11100,현금및현금성자산,05월 현금및현금성자산 정산,명진산업,211000.0,이차장
202505070,2025/05/01,차변,21100,매입채무,05월 현금및현금성자산 정산,명진산업,90000.0,이차장
202505070,2025/05/01,대변,52100,지급수수료,05월 현금및현금성자산 정산,명진산업,-301000.0,이차장
202505071,2025/01/21,차변,51100,급여,01월 급여 정산,동보전자,349000.0,최사원
202505071,2025/01/21,대변,13100,재고자산,01월 급여 정산,동보전자,-349000.0,최사원
202505072,2025/12/11,차변,21500,미지급비용,12월 미지급비용 정산,대성엔지니어링,213000.0,박과장
202505072,2025/12/11,차변,11300,매출채권,12월 미지급비용 정산,대성엔지니어링,91000.0,박과장
202505072,2025/12/11,대변,11100,현금및현금성자산,12월 미지급비용 정산,대성엔지니어링,-304000.0,박과장
202505073,2025/07/16,차변,51500,여비교통비,07월 여비교통비 정산,우성테크,433000.0,김대리
202505073,2025/07/16,대변,11100,현금및현금성자산,07월 여비교통비 정산,우성테크,-433000.0,김대리
202505074,2025/02/01,차변,21500,미지급비용,02월 미지급비용 정산,-,510000.0,이차장
202505074,2025/02/01,대변,21100,매입채무,02월 미지급비용 정산,-,-510000.0,이차장
202505075,2025/09/11,차변,51100,급여,09월 급여 정산,명진산업,370000.0,김대리
202505075,2025/09/11,대변,51300,복리후생비,09월 급여 정산,명진산업,-370000.0,김대리
202505076,2025/08/09,차변,52100,지급수수료,08월 지급수수료 정산,케이엘상사,473000.0,박과장
202505076,2025/08/09,대변,21300,미지급금,08월 지급수수료 정산,케이엘상사,-473000.0,박과장
202505077,2025/09/28,차변,51300,복리후생비,09월 복리후생비 정산,삼정유통,257000.0,박과장
202505077,2025/09/28,대변,11300,매출채권,09월 복리후생비 정산,삼정유통,-257000.0,박과장
202505078,2025/10/03,차변,51500,여비교통비,10월 여비교통비 정산,동보전자,382000.0,최사원
202505078,2025/10/03,대변,45100,매출원가,10월 여비교통비 정산,동보전자,-382000.0,최사원
202505079,2025/12/04,차변,13100,재고자산,12월 재고자산 정산,명진산업,1164000.0,최사원
202505079,2025/12/04,대변,11100,현금및현금성자산,12월 재고자산 정산,명진산업,-1164000.0,최사원
202505080,2025/04/16,차변,51300,복리후생비,04월 복리후생비 정산,제일기공,1880000.0,김대리
202505080,2025/04/16,대변,21300,미지급금,04월 복리후생비 정산,제일기공,-1880000.0,김대리
202505081,2025/11/12,차변,11300,매출채권,11월 매출채권 정산,동보전자,262000.0,박과장
202505081,2025/11/12,대변,52300,소모품비,11월 매출채권 정산,동보전자,-262000.0,박과장
202505082,2025/01/03,차변,51300,복리후생비,01월 복리후생비 정산,(주)한빛물산,1779000.0,박과장
202505082,2025/01/03,차변,51500,여비교통비,01월 복리후생비 정산,(주)한빛물산,762000.0,박과장
202505082,2025/01/03,대변,25100,예수금,01월 복리후생비 정산,(주)한빛물산,-2541000.0,박과장
202505083,2025/10/09,차변,40100,매출,10월 매출 정산,(주)한빛물산,2482000.0,김대리
202505083,2025/10/09,차변,51100,급여,10월 매출 정산,(주)한빛물산,1063000.0,김대리
202505083,2025/10/09,대변,21100,매입채무,10월 매출 정산,(주)한빛물산,-3545000.0,김대리
202505084,2025/07/03,차변,13100,재고자산,07월 재고자산 정산,(주)한빛물산,1535000.0,박과장
202505084,2025/07/03,대변,51300,복리후생비,07월 재고자산 정산,(주)한빛물산,-1535000.0,박과장
202505085,2025/03/06,차변,11300,매출채권,03월 매출채권 정산,대성엔지니어링,530000.0,김대리
202505085,2025/03/06,대변,51500,여비교통비,03월 매출채권 정산,대성엔지니어링,-530000.0,김대리
202505086,2025/05/15,차변,51500,여비교통비,05월 여비교통비 정산,-,223000.0,김대리
202505086,2025/05/15,대변,52300,소모품비,05월 여비교통비 정산,-,-223000.0,김대리
202505087,2025/10/28,차변,51500,여비교통비,10월 여비교통비 정산,케이엘상사,163000.0,최사원
202505087,2025/10/28,대변,21500,미지급비용,10월 여비교통비 정산,케이엘상사,-163000.0,최사원
202505088,2025/11/25,차변,52100,지급수수료,11월 지급수수료 정산,삼정유통,839000.0,이차장
202505088,2025/11/25,대변,25100,예수금,11월 지급수수료 정산,삼정유통,-839000.0,이차장
202505089,2025/03/17,차변,51500,여비교통비,03월 여비교통비 정산,대성엔지니어링,183000.0,박과장
202505089,2025/03/17,대변,45100,매출원가,03월 여비교통비 정산,대성엔지니어링,-183000.0,박과장
202505090,2025/06/08,차변,21100,매입채무,06월 매입채무 정산,(주)한빛물산,1123000.0,박과장
202505090,2025/06/08,차변,45100,매출원가,06월 매입채무 정산,(주)한빛물산,481000.0,박과장
202505090,2025/06/08,대변,51500,여비교통비,06월 매입채무 정산,(주)한빛물산,-1604000.0,박과장
202505091,2025/11/12,차변,51100,급여,11월 급여 정산,(주)한빛물산,439000.0,이차장
202505091,2025/11/12,대변,21500,미지급비용,11월 급여 정산,(주)한빛물산,-439000.0,이차장
202505092,2025/01/31,차변,11100,현금및현금성자산,01월 현금및현금성자산 정산,동보전자,125000.0,이차장
202505092,2025/01/31,대변,21100,매입채무,01월 현금및현금성자산 정산,동보전자,-125000.0,이차장
202505093,2025/11/13,차변,52300,소모품비,11월 소모품비 정산,제일기공,92000.0,김대리
202505093,2025/11/13,대변,25100,예수금,11월 소모품비 정산,제일기공,-92000.0,김대리
202505094,2025/03/28,차변,40100,매출,03월 매출 정산,-,554000.0,최사원
202505094,2025/03/28,대변,11300,매출채권,03월 매출 정산,-,-554000.0,최사원
202505095,2025/10/24,차변,51100,급여,10월 급여 정산,명진산업,13346000.0,김대리
202505095,2025/10/24,대변,21300,미지급금,10월 급여 정산,명진산업,-13346000.0,김대리
202505096,2025/07/21,차변,11300,매출채권,07월 매출채권 정산,케이엘상사,558000.0,김대리
202505096,2025/07/21,대변,45100,매출원가,07월 매출채권 정산,케이엘상사,-558000.0,김대리
202505097,2025/06/28,차변,21300,미지급금,06월 미지급금 정산,동보전자,245000.0,박과장
202505097,2025/06/28,대변,40100,매출,06월 미지급금 정산,동보전자,-245000.0,박과장
202505098,2025/03/23,차변,11300,매출채권,03월 매출채권 정산,-,3514000.0,김대리
202505098,2025/03/23,대변,51300,복리후생비,03월 매출채권 정산,-,-3514000.0,김대리
202505099,2025/09/14,차변,52100,지급수수료,09월 지급수수료 정산,대성엔지니어링,1362000.0,최사원
202505099,2025/09/14,대변,51300,복리후생비,09월 지급수수료 정산,대성엔지니어링,-1362000.0,최사원
202505100,2025/03/19,차변,11100,현금및현금성자산,03월 현금및현금성자산 정산,(주)한빛물산,237000.0,김대리
202505100,2025/03/19,차변,40100,매출,03월 현금및현금성자산 정산,(주)한빛물산,102000.0,김대리
202505100,2025/03/19,대변,25100,예수금,03월 현금및현금성자산 정산,(주)한빛물산,-339000.0,김대리
202505101,2025/06/26,차변,51500,여비교통비,06월 여비교통비 정산,제일기공,466000.0,박과장
202505101,2025/06/26,대변,21300,미지급금,06월 여비교통비 정산,제일기공,-466000.0,박과장
202505102,2025/05/28,차변,11300,매출채권,05월 매출채권 정산,삼정유통,854000.0,박과장
202505102,2025/05/28,대변,52100,지급수수료,05월 매출채권 정산,삼정유통,-854000.0,박과장
202505103,2025/04/10,차변,52300,소모품비,04월 소모품비 정산,-,30000.0,이차장
202505103,2025/04/10,대변,51500,여비교통비,04월 소모품비 정산,-,-30000.0,이차장
202505104,2025/10/01,차변,21100,매입채무,10월 매입채무 정산,제일기공,558000.0,김대리
202505104,2025/10/01,대변,11100,현금및현금성자산,10월 매입채무 정산,제일기공,-558000.0,김대리
202505105,2025/08/07,차변,52100,지급수수료,08월 지급수수료 정산,-,147000.0,최사원
202505105,2025/08/07,대변,21100,매입채무,08월 지급수수료 정산,-,-147000.0,최사원
202505106,2025/02/03,차변,21100,매입채무,02월 매입채무 정산,(주)한빛물산,85000.0,이차장
202505106,2025/02/03,대변,40100,매출,02월 매입채무 정산,(주)한빛물산,-85000.0,이차장
202505107,2025/05/27,차변,13100,재고자산,05월 재고자산 정산,케이엘상사,2663000.0,최사원
202505107,2025/05/27,대변,21100,매입채무,05월 재고자산 정산,케이엘상사,-2663000.0,최사원
202505108,2025/02/03,차변,40100,매출,02월 매출 정산,우성테크,903000.0,이차장
202505108,2025/02/03,차변,52100,지급수수료,02월 매출 정산,우성테크,387000.0,이차장
202505108,2025/02/03,대변,52300,소모품비,02월 매출 정산,우성테크,-1290000.0,이차장
202505109,2025/03/07,차변,51100,급여,03월 급여 정산,-,638000.0,김대리
202505109,2025/03/07,대변,11300,매출채권,03월 급여 정산,-,-638000.0,김대리
202505110,2025/01/17,차변,21100,매입채무,01월 매입채무 정산,대성엔지니어링,732000.0,김대리
202505110,2025/01/17,대변,11300,매출채권,01월 매입채무 정산,대성엔지니어링,-732000.0,김대리
202505111,2025/12/12,차변,52100,지급수수료,12월 지급수수료 정산,제일기공,318000.0,김대리
202505111,2025/12/12,대변,51500,여비교통비,12월 지급수수료 정산,제일기공,-318000.0,김대리
202505112,2025/09/05,차변,13100,재고자산,09월 재고자산 정산,삼정유통,461000.0,박과장
202505112,2025/09/05,대변,40100,매출,09월 재고자산 정산,삼정유통,-461000.0,박과장
202505113,2025/06/05,차변,11100,현금및현금성자산,06월 현금및현금성자산 정산,(주)한빛물산,1986000.0,김대리
202505113,2025/06/05,대변,21500,미지급비용,06월 현금및현금성자산 정산,(주)한빛물산,-1986000.0,김대리
202505114,2025/04/25,차변,13100,재고자산,04월 재고자산 정산,(주)한빛물산,309000.0,박과장
202505114,2025/04/25,대변,21300,미지급금,04월 재고자산 정산,(주)한빛물산,-309000.0,박과장
202505115,2025/01/26,차변,40100,매출,01월 매출 정산,케이엘상사,191000.0,최사원
202505115,2025/01/26,대변,21100,매입채무,01월 매출 정산,케이엘상사,-191000.0,최사원
202505116,2025/07/03,차변,21100,매입채무,07월 매입채무 정산,우성테크,200000.0,이차장
202505116,2025/07/03,대변,51100,급여,07월 매입채무 정산,우성테크,-200000.0,이차장
202505117,2025/06/18,차변,11300,매출채권,06월 매출채권 정산,명진산업,976000.0,김대리
202505117,2025/06/18,대변,52100,지급수수료,06월 매출채권 정산,명진산업,-976000.0,김대리
202505118,2025/01/29,차변,52300,소모품비,01월 소모품비 정산,-,253000.0,최사원
202505118,2025/01/29,차변,40100,매출,01월 소모품비 정산,-,109000.0,최사원
202505118,2025/01/29,대변,51500,여비교통비,01월 소모품비 정산,-,-362000.0,최사원
202505119,2025/12/11,차변,11100,현금및현금성자산,12월 현금및현금성자산 정산,동보전자,817000.0,이차장
202505119,2025/12/11,대변,21500,미지급비용,12월 현금및현금성자산 정산,동보전자,-817000.0,이차장
202505120,2025/12/17,차변,51500,여비교통비,12월 여비교통비 정산,동보전자,214000.0,이차장
202505120,2025/12/17,대변,52300,소모품비,12월 여비교통비 정산,동보전자,-214000.0,이차장
202505121,2025/04/10,차변,13100,재고자산,04월 재고자산 정산,-,1811000.0,이차장
202505121,2025/04/10,대변,51300,복리후생비,04월 재고자산 정산,-,-1811000.0,이차장
202505122,2025/05/03,차변,51100,급여,05월 급여 정산,우성테크,7324000.0,김대리
202505122,2025/05/03,대변,45100,매출원가,05월 급여 정산,우성테크,-7324000.0,김대리
202505123,2025/08/30,차변,25100,예수금,08월 예수금 정산,(주)한빛물산,593000.0,김대리
202505123,2025/08/30,대변,21100,매입채무,08월 예수금 정산,(주)한빛물산,-593000.0,김대리
202505124,2025/10/17,차변,21500,미지급비용,10월 미지급비용 정산,(주)한빛물산,1549000.0,이차장
202505124,2025/10/17,대변,52100,지급수수료,10월 미지급비용 정산,(주)한빛물산,-1549000.0,이차장
202505125,2025/01/05,차변,45100,매출원가,01월 매출원가 정산,제일기공,443000.0,박과장
202505125,2025/01/05,대변,51100,급여,01월 매출원가 정산,제일기공,-443000.0,박과장
202505126,2025/01/24,차변,21300,미지급금,01월 미지급금 정산,케이엘상사,66000.0,이차장
202505126,2025/01/24,대변,51500,여비교통비,01월 미지급금 정산,케이엘상사,-66000.0,이차장
202505127,2025/01/04,차변,45100,매출원가,01월 매출원가 정산,제일기공,375000.0,박과장
202505127,2025/01/04,대변,52100,지급수수료,01월 매출원가 정산,제일기공,-375000.0,박과장
202505128,2025/10/29,차변,51100,급여,10월 급여 정산,케이엘상사,2062000.0,박과장
202505128,2025/10/29,대변,52100,지급수수료,10월 급여 정산,케이엘상사,-2062000.0,박과장
202505129,2025/11/07,차변,52300,소모품비,11월 소모품비 정산,삼정유통,1002000.0,최사원
202505129,2025/11/07,대변,52100,지급수수료,11월 소모품비 정산,삼정유통,-1002000.0,최사원
202505130,2025/01/30,차변,51500,여비교통비,01월 여비교통비 정산,대성엔지니어링,703000.0,최사원
202505130,2025/01/30,대변,52100,지급수수료,01월 여비교통비 정산,대성엔지니어링,-703000.0,최사원
202505131,2025/12/01,차변,52100,지급수수료,12월 지급수수료 정산,제일기공,121000.0,이차장
202505131,2025/12/01,대변,51100,급여,12월 지급수수료 정산,제일기공,-121000.0,이차장
